datetime_finished,country_name,passed_exams
2018-02-26,Argentina,1
2018-07-03,Argentina,1
2017-10-16,Australia,1
2017-11-01,Australia,1
2017-11-04,Australia,1
2017-11-19,Australia,1
2017-11-21,Australia,1
2017-11-27,Australia,1
2017-11-29,Australia,1
2017-12-04,Australia,2
2017-12-12,Australia,1
2017-12-13,Australia,1
2017-12-26,Australia,2
2017-12-28,Australia,1
2018-01-03,Australia,2
2018-01-07,Australia,1
2018-01-11,Australia,2
2018-01-15,Australia,1
2018-01-20,Australia,1
2018-01-26,Australia,1
2018-01-27,Australia,1
2018-01-29,Australia,1
2018-01-30,Australia,2
2018-02-04,Australia,1
2018-02-05,Australia,1
2018-02-06,Australia,3
2018-02-10,Australia,1
2018-02-14,Australia,1
2018-02-24,Australia,2
2018-02-25,Australia,1
2018-03-03,Australia,2
2018-03-05,Australia,1
2018-03-06,Australia,1
2018-03-08,Australia,1
2018-03-09,Australia,1
2018-03-12,Australia,1
2018-03-16,Australia,1
2018-03-17,Australia,1
2018-03-19,Australia,1
2018-03-24,Australia,1
2018-03-25,Australia,3
2018-03-26,Australia,1
2018-03-28,Australia,1
2018-03-29,Australia,1
2018-03-30,Australia,1
2018-04-03,Australia,2
2018-04-04,Australia,2
2018-04-05,Australia,1
2018-04-06,Australia,1
2018-04-07,Australia,2
2018-04-08,Australia,3
2018-04-10,Australia,1
2018-04-11,Australia,1
2018-04-14,Australia,2
2018-04-15,Australia,2
2018-04-17,Australia,2
2018-04-21,Australia,1
2018-04-22,Australia,1
2018-04-27,Australia,1
2018-04-29,Australia,2
2018-04-30,Australia,1
2018-05-02,Australia,2
2018-05-04,Australia,1
2018-05-06,Australia,1
2018-05-09,Australia,1
2018-05-10,Australia,1
2018-05-13,Australia,1
2018-05-15,Australia,1
2018-05-16,Australia,1
2018-05-18,Australia,2
2018-05-21,Australia,1
2018-05-22,Australia,2
2018-05-25,Australia,2
2018-05-29,Australia,1
2018-05-30,Australia,1
2018-05-31,Australia,1
2018-06-05,Australia,2
2018-06-07,Australia,1
2018-06-22,Australia,1
2018-06-23,Australia,2
2018-06-24,Australia,1
2018-06-25,Australia,1
2018-06-26,Australia,1
2018-06-27,Australia,1
2018-06-28,Australia,1
2018-06-29,Australia,1
2018-07-03,Australia,1
2018-07-04,Australia,2
2018-07-06,Australia,1
2018-07-09,Australia,3
2018-07-10,Australia,1
2018-07-12,Australia,1
2018-07-17,Australia,1
2018-07-18,Australia,1
2017-10-04,Brazil,1
2017-11-01,Brazil,1
2017-11-03,Brazil,2
2017-11-06,Brazil,1
2017-11-18,Brazil,1
2017-11-25,Brazil,1
2017-12-21,Brazil,1
2017-12-29,Brazil,2
2018-01-03,Brazil,1
2018-02-05,Brazil,2
2018-02-08,Brazil,1
2018-02-22,Brazil,2
2018-02-26,Brazil,1
2018-03-05,Brazil,1
2018-03-06,Brazil,1
2018-03-19,Brazil,1
2018-03-28,Brazil,1
2018-03-29,Brazil,3
2018-03-30,Brazil,1
2018-04-03,Brazil,1
2018-04-09,Brazil,1
2018-04-11,Brazil,1
2018-04-18,Brazil,1
2018-04-22,Brazil,2
2018-04-24,Brazil,1
2018-04-25,Brazil,1
2018-04-29,Brazil,1
2018-04-30,Brazil,2
2018-05-02,Brazil,1
2018-05-03,Brazil,1
2018-05-05,Brazil,1
2018-05-06,Brazil,2
2018-05-21,Brazil,1
2018-05-23,Brazil,2
2018-05-31,Brazil,1
2018-06-01,Brazil,1
2018-06-13,Brazil,1
2018-06-16,Brazil,1
2018-06-24,Brazil,2
2018-06-27,Brazil,1
2018-06-28,Brazil,2
2018-06-29,Brazil,1
2018-06-30,Brazil,1
2018-07-12,Brazil,2
2017-11-21,Canada,2
2017-11-30,Canada,1
2017-12-05,Canada,1
2017-12-08,Canada,1
2017-12-21,Canada,1
2017-12-29,Canada,1
2018-01-03,Canada,1
2018-01-05,Canada,1
2018-02-06,Canada,1
2018-02-08,Canada,2
2018-03-02,Canada,1
2018-03-07,Canada,1
2018-03-08,Canada,1
2018-03-28,Canada,1
2018-04-03,Canada,1
2018-04-06,Canada,1
2018-04-11,Canada,1
2018-04-30,Canada,1
2018-05-01,Canada,1
2018-05-03,Canada,1
2018-05-07,Canada,1
2018-05-11,Canada,1
2018-05-12,Canada,1
2018-05-21,Canada,1
2018-05-26,Canada,1
2018-06-01,Canada,1
2018-06-05,Canada,1
2018-06-07,Canada,2
2018-06-11,Canada,1
2018-06-15,Canada,1
2018-06-21,Canada,1
2018-06-28,Canada,1
2018-07-02,Canada,1
2018-07-03,Canada,1
2018-07-04,Canada,1
2018-07-06,Canada,1
2018-07-11,Canada,1
2018-07-13,Canada,1
2018-07-16,Canada,1
2018-07-17,Canada,2
