Match_ID,Player_Name,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Ground,Start Date,Match_Winner,Margin
T20I # 1652,RW Chakabva,Zimbabwe,U.S.A.,31,0,-,23,4,1,134.78,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,CR Ervine,Zimbabwe,U.S.A.,11,0,-,9,2,0,122.22,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,SC Williams,Zimbabwe,U.S.A.,37,0,-,35,3,0,105.71,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,I Kaia,Zimbabwe,U.S.A.,2,0,-,5,0,0,40,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,Sikandar Raza,Zimbabwe,U.S.A.,82*,1,-,40,7,5,205,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,RP Burl,Zimbabwe,U.S.A.,8,0,-,3,0,1,266.66,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,LM Jongwe,Zimbabwe,U.S.A.,1,0,-,2,0,0,50,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,M Shumba,Zimbabwe,U.S.A.,7*,1,-,3,1,0,233.33,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,R Ngarava,Zimbabwe,U.S.A.,DNB,NA,-,-,-,-,-,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,WP Masakadza,Zimbabwe,U.S.A.,DNB,NA,-,-,-,-,-,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,B Muzarabani,Zimbabwe,U.S.A.,DNB,NA,-,-,-,-,-,1,Bulawayo,14-Jul-22,Zimbabwe,46 runs
T20I # 1652,SR Taylor,U.S.A.,Zimbabwe,46,0,-,32,5,1,143.75,2,Bulawayo,14-Jul-22,Zimbabwe,46 runs
