ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Season,City,Sport,Event,Medal,Games1,Games2
84,Sean Clark,M,26,165,55,Unitonaris,USA,2004 Summer,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver,2004,Summer
90,Simon Wilson,F,21,163,60,Rusfara,RUS,2004 Summer,Summer,Athina,Cycling,"Cycling Women's Sprint",Silver,2004,Summer
165,Max Robertson,F,20,175,56,Unitonaris,USA,2004 Summer,Summer,Athina,Taekwondo,"Taekwondo Women's Featherweight",Silver,2004,Summer
514,Anna Ince,M,29,191,84,Swedaris,SWE,2004 Summer,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,2004,Summer
543,Nicholas Hart,M,25,198,89,Rusfara,RUS,2004 Summer,Summer,Athina,Volleyball,"Volleyball Men's Volleyball",Bronze,2004,Summer
583,Jacob Marshall,M,23,180,68,Francara,FRA,2004 Summer,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,2004,Summer
1114,Julia Paterson,M,24,187,93,Italion,ITA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxless Fours",Bronze,2004,Summer
1356,Brian Pullman,M,29,189,80,Germarion,GER,2004 Summer,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze,2004,Summer
1444,Brian Powell,M,28,195,97,Unitonaris,USA,2004 Summer,Summer,Athina,Rowing,"Rowing Men's Coxed Eights",Gold,2004,Summer
1467,Keith Knox,F,30,165,60,Argentara,ARG,2004 Summer,Summer,Athina,Hockey,"Hockey Women's Hockey",Bronze,2004,Summer
1487,Pippa Taylor,M,28,183,85,Japarion,JPN,2004 Summer,Summer,Athina,Baseball,"Baseball Men's Baseball",Bronze,2004,Summer
1498,Boris Wallace,M,27,183,90,Unitardis,GBR,2004 Summer,Summer,Athina,Sailing,"Sailing Men's One Person Dinghy",Gold,2004,Summer
1698,Jasmine Lee,M,19,178,105,Rusfara,RUS,2004 Summer,Summer,Athina,Weightlifting,"Weightlifting Men's Middle-Heavyweight",Silver,2004,Summer
1762,Mary Powell,M,22,187,81,Syriarion,SYR,2004 Summer,Summer,Athina,Boxing,"Boxing Men's Heavyweight",Bronze,2004,Summer
2025,Adam Murray,M,40,175,67,Unitarion,UAE,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Double Trap",Gold,2004,Summer
2469,Tim Cornish,M,32,200,130,Lithuor,LTU,2004 Summer,Summer,Athina,Athletics,"Athletics Men's Discus Throw",Gold,2004,Summer
2735,Ruth Bell,M,45,168,72,Rusfara,RUS,2004 Summer,Summer,Athina,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Bronze,2004,Summer
