Installation Date,DeviceID,EventName,IDFA,EventFireDate
11/28/2015 17:57,2,Offer - Use at Location,1,11/30/2015 3:17:04
11/28/2015 17:57,2,Offer - Use at Location,1,12/6/2015 17:22:00
11/28/2015 17:57,2,Offer - Use at Location,1,12/6/2015 17:22:02
11/28/2015 17:57,2,Offer - Use at Location,1,1/30/2016 6:34:19
11/28/2015 17:57,2,Offer - Use at Location,1,1/30/2016 6:34:25
11/28/2015 17:57,2,Offer - Use at Location,1,1/30/2016 6:34:32
11/28/2015 17:57,2,Offer - Use at Location,1,2/10/2016 23:59:50
11/28/2015 17:57,2,Offer - Use at Location,1,2/11/2016 0:0:16
10/17/2015 17:57,3,Offer - Use at Location,2,10/18/2015 3:17:04
10/17/2015 17:57,3,Offer - Use at Location,2,11/6/2015 17:22:00
10/17/2015 17:57,3,Offer - Use at Location,2,11/6/2015 17:22:02
10/17/2015 17:57,3,Offer - Use at Location,2,12/30/2016 6:34:19
10/17/2015 17:57,3,Offer - Use at Location,2,12/30/2016 6:34:25
12/29/2015 17:57,4,Offer - Use at Location,3,12/30/2016 6:34:32
12/29/2015 17:57,4,Offer - Use at Location,3,12/31/2016 23:59:50
12/29/2015 17:57,4,Offer - Use at Location,3,1/1/2017 0:0:16
